Дата,день недели,6 А,6 А,6 Б,6 Б,6 В,6 В,7 А,7 А,7 Б,7 Б,7 В,7 В,7 Г,7 Г,7 Д,7 Д,8 А,8 А,8 Б,8 Б,8 В,8 В,8 Г,8 Г,8 Д,8 Д,9 А,9 А,9 Б,9 Б,9 В,9 В,9 Г,9 Г,9 Д,9 Д,10 А,10 А,10 Б,10 Б,10 В,10 В,10 Г,10 Г,10 Д,10 Д,11 А,11 А,11 Б,11 Б,11 В,11 В,11 Г,11 Г,11 Д,11 Д
2023-09-27,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,Пылева (физмат профиль) - контрольная работа по физике,,,,,,,,,,
2023-09-28,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,пятница,,,,,,,,,,,,,,,,,,,,,,,алгебра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,понедельник,,,,,Математика,,,,,,,,,,,,Алгебра,,,,алгебра,,,,алгебра,,,,,,,,,,,,,,,,,,,,,,,,,,Алгебра,,"""к/ р по истории """"Вторая мировая война и Великая Отечественная война""""""","""к/ р по истории """"Вторая мировая война и Великая Отечественная война""""""","""к/ р по истории """"Вторая мировая война и Великая Отечественная война""""""","""к/ р по истории """"Вторая мировая война и Великая Отечественная война"""""""
2023-10-03,вторник,,,,,,,,,,,,,,,,,,,Алгебра,тест англ.яз (2я гр),,,,,,,,,,,,,алгебра-работа,,,,,,,,,,Контрольная по алгебре,Контрольная по алгебре,,,,,,,,,,,,
2023-10-04,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-05,четверг,,,Алгебра,,,,ОТБОР НА УТЮМ И КОСТРОМУ,ОТБОР НА УТЮМ И КОСТРОМУ,ОТБОР НА УТЮМ И КОСТРОМУ,ОТБОР НА УТЮМ И КОСТРОМУ,ОТБОР НА УТЮМ И КОСТРОМУ,ОТБОР НА УТЮМ И КОСТРОМУ,ОТБОР НА УТЮМ И КОСТРОМУ,ОТБОР НА УТЮМ И КОСТРОМУ,ОТБОР НА УТЮМ И КОСТРОМУ,ОТБОР НА УТЮМ И КОСТРОМУ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-06,пятница,,,,,,,,,,,,,,,,,Срезовая работа по спецмату,Срезовая работа по спецмату,Срезовая работа по спецмату,Срезовая работа по спецмату,Срезовая работа по спецмату,Срезовая работа по спецмату,Срезовая работа по спецмату,Срезовая работа по спецмату,Срезовая работа по спецмату,Срезовая работа по спецмату,,,Физика КР,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-07,суббота,История,,История,,История,,,,,,,,,,,,,,,,,,,,,,,,,,Физика КР,Геометрия КР,спецмат-работа,,,,Физич. профиль КР,,Физич. профиль КР,,Физич. профиль КР,,Физич. профиль КР,,Физич. профиль КР,,,,,,,,,,,
