Дата,день недели,6 А,6 А,6 Б,6 Б,6 В,6 В,7 А,7 А,7 Б,7 Б,7 В,7 В,7 Г,7 Г,7 Д,7 Д,8 А,8 А,8 Б,8 Б,8 В,8 В,8 Г,8 Г,8 Д,8 Д,9 А,9 А,9 Б,9 Б,9 В,9 В,9 Г,9 Г,9 Д,9 Д,10 А,10 А,10 Б,10 Б,10 В,10 В,10 Г,10 Г,10 Д,10 Д,11 А,11 А,11 Б,11 Б,11 В,11 В,11 Г,11 Г,11 Д,11 Д
2024-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика",,,,,,,,,,,,,,,,,,,,
2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,,,,,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,,,,,,,,,,,,,,,,,,,,
2024-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,,,,,,,,,,,,,,,,,,,,
2024-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,,,,,,,,,,,,,,,,,,,,
2024-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,,,,,,,,,,,,,,,,,,,,
2024-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
